"","plotID","plotNum","domainID","siteID","decimalLatitude","decimalLongitude","Original_SpRich","rangefilt_95_SpRich","FEve","FDiv","original_FRic","SES.FRic","FRic.p","original_PD","SES.PD","PD.p","original_MPD","SES.MPD","MPD.p","nlcdClass","elevation","temp.range_CHELSA","temp.ave_CHELSA","precip.annual_CHELSA","temp.range_daymet","temp.ave_daymet","precip.total_daymet","Vert.Variance","Vert.Shannon","Vert.Simpson","Vert.Mean","volume_und","volume_mid","volume_subcan","volume_can","clumpy_und","clumpy_mid","clumpy_subcan","clumpy_can","te_und","te_mid","te_subcan","te_can","np_und","np_mid","np_subcan","np_can","Total_veg_amt_NEW","shannon_plot","simpson_plot","variance_plot","range_abs","dist_traveled","clumpy_TotVol","np_TotVol","te_TotVol","PC1","PC2","PC3","PC4","VegRating"
"14","ABBY_018",14,"D16","ABBY",45.764526,-122.38678,7,9,0.600223721676422,0.766083800311162,0.00955875074049756,1.22497259196881,0.846534653465347,362.973814066424,0.209773706594722,0.584158415841584,93.0825921577031,-0.170802457952476,0.465346534653465,"grasslandHerbaceous",459.5,27,4.15,2448.6,12.3673913043478,15.5583695652174,241.74,255.815952,12.97302277,0.999997507,14.70596639,52178,40302,98369,223534,0.418409,0.6650225,0.796676,0.9250528,62511,20754,20118,9351,5067,782,348,54,414383,3.7694920182654,0.973159535494799,1.72437251500574,6.54828986710362,13.3709635771738,0.7867372,4009,38210,-0.167432538627518,0.0347596151388419,-0.0536333622584028,0.00870647177766493,"Canopy"
"15","ABBY_021",15,"D16","ABBY",45.743931,-122.317095,8,12,0.588176065150968,0.761042065190261,0.0134747153005389,0.98588038333688,0.905940594059406,452.039976854225,0.007338080061088,0.475247524752475,104.927380783361,0.611059804671594,0.752475247524752,"grasslandHerbaceous",500.6,27,4.05,2684,12.000652173913,15.0048913043478,311.02,322.0915587,13.13513053,0.99999792,19.17421844,78255,25311,52970,346889,0.3894161,0.5872734,0.6705835,0.9306931,88871,18326,25362,12830,6299,1219,1058,29,503425,3.65834737115419,0.966829463502514,2.79458898020014,8.34384466405125,17.0162387644634,0.744791,4725,50675,-0.149099060182914,-0.00730989885179843,0.0497106789931314,0.00461987352015139,"Canopy"
"16","ABBY_022",16,"D16","ABBY",45.755543,-122.320415,9,13,0.59671811403765,0.825837297103189,0.00602855361490012,-0.712081908745038,0.272277227722772,550.89827262504,1.14645042738744,0.871287128712871,113.632133529372,1.28218051619137,0.920792079207921,"grasslandHerbaceous",386.6,27,4.15,2649.1,12.5195652173913,15.6229347826087,280.35,109.6138735,12.10699501,0.999992851,5.429884617,142186,43306,33875,46853,0.6153317,0.7526675,0.7865107,0.896458,65268,14221,9993,4357,2784,650,203,59,266220,3.18391463640023,0.916448169175594,11.7871377098721,13.7217339042897,25.0604762977988,0.7206351,2300,52407,-0.353522595117704,0.0893628199636941,0.0678585148853485,0.125296457030736,"Canopy"
"17","ABBY_023",17,"D16","ABBY",45.744589,-122.381659,9,13,0.59855425711251,0.709035087584119,0.00453408752931765,-0.94011903638353,0.272277227722772,535.307498419012,1.01170433828991,0.821782178217822,109.778506078513,1.12908255813876,0.831683168316832,"mixedForest",507.5,27,3.85,2498.1,11.7648913043478,14.9935326086957,266.55,227.4509012,13.34007721,0.999998024,13.96515228,301526,201340,54322,227524,0.4938622,0.656688,0.7304864,0.9414998,95984,64195,18636,7578,992,1823,599,58,784712,3.40537554729435,0.951452122261117,5.53643180174291,5.03687977245155,17.9602198003854,0.5571594,106,32013,-0.320545315375297,0.0342125879728707,-0.00461506159494987,0.0766931620141159,"Canopy"
"18","ABBY_027",18,"D16","ABBY",45.777441,-122.297091,13,16,0.569239505298106,0.749763763367782,0.0136899495217508,0.32188303227616,0.816831683168317,427.737521500972,-2.11398312906579,0.0396039603960396,77.2079128346294,-2.17215679145176,0.0297029702970297,"shrubScrub",639,26.8,3.25,2742.5,11.5038043478261,14.6129891304348,326.79,69.71197362,12.94155672,0.999997298,7.784748341,94412,191907,114798,22338,0.4275953,0.8170142,0.7992442,0.8429675,84133,30363,23513,3708,5417,244,345,82,423455,3.26088949323676,0.954404690412892,5.31892753181422,7.01939993623879,16.3606522534862,0.7193489,3856,55962,-0.180423958235287,-0.0396175272910231,0.0476724795868183,0.0397515435077605,"Canopy"
"19","ABBY_029",19,"D16","ABBY",45.764075,-122.313736,7,9,0.610175425964453,0.774565339571079,0.00306225187241918,-0.841322925943648,0.301980198019802,243.92458279622,-2.04278847380851,0.0396039603960396,74.9532366688365,-1.63197187873727,0.0495049504950495,"mixedForest",359.9,27.2,4.25,2635.1,12.8283695652174,15.9535326086957,278.88,187.2284126,13.11001722,0.999997712,13.27701732,94819,138181,108078,172203,0.558578,0.7651526,0.7408791,0.8906222,64074,35432,31599,13026,2591,869,711,90,513281,3.75388244571028,0.973787386069962,1.45171611538097,6.20439876013334,13.1845908966044,0.8963182,1247,21349,-0.315016423329013,0.00954903797906014,-0.023508938918549,-0.0120273918133198,"Canopy"
"20","ABBY_030",20,"D16","ABBY",45.77243,-122.31638,5,8,0.620449494624264,0.81759771115885,0.010780197062269,1.30145853959354,0.915841584158416,205.444164534204,-2.0136051351094,0.0099009900990099,70.9583954358561,-1.62548183086655,0.0495049504950495,"mixedForest",377.1,27.1,4.15,2623.5,12.4273913043478,15.5504347826087,296.12,119.1979318,13.6928578,0.999998737,14.92507007,130142,281888,285930,187632,0.5093778,0.7236497,0.769653,0.8257353,86079,54301,44401,24209,3277,919,524,458,885592,3.63066242654105,0.971190940513174,2.01164282816124,3.91737956079097,10.7098980117255,0.8953395,663,13495,-0.454340216348337,0.0789579076534558,0.0358535806791289,-0.0183814657503262,"Canopy"
"21","BART_003",29,"D01","BART",44.054939,-71.263123,2,5,0.52926522389972,0.683498413331671,0.00232140258006263,2.21689738485542,0.965346534653465,31.2265907027871,-1.51350741546635,0.0495049504950495,31.2265907027871,-1.51350741546635,0.0495049504950495,"deciduousForest",438.5,38.8,1.65,1591.2,11.6740217391304,14.4729891304348,490.18,27.65512104,13.2401562,0.999998156,16.02424536,11271,198178,299765,16627,0.3288817,0.485549,0.5576188,0.7056283,21740,101432,75127,9657,2852,2061,884,418,525841,2.99467042444404,0.939897210611268,9.27392965214811,3.23424761477329,19.8925150378156,0.3521223,8,36287,-0.48154966542754,0.0235352658140974,-0.0448096903337695,0.664903044043782,"Canopy"
"22","BART_004",30,"D01","BART",44.04122,-71.287007,6,9,0.514883172700173,0.801999448478277,0.00563596496204245,1.91305938798621,0.945544554455445,104.549193266278,-0.218352307007495,0.292079207920792,69.699462177519,-0.21835230700748,0.292079207920792,"mixedForest",526.3,38.1,1.35,1730.8,11.5529347826087,14.28375,497.93,21.44186017,13.88172263,0.99999904,16.77057407,14687,256816,594955,13924,0.3491218,0.5683188,0.6527893,0.7067983,25172,85313,37590,6082,3121,1884,103,331,880382,2.84531442985854,0.928591796190383,13.0500464311625,4.02541626863824,22.4670909526671,1.472561,1,1061,-0.572302922954931,0.147607170593634,0.0676973520879469,0.398308358181459,"Canopy"
"23","BART_009",31,"D01","BART",44.054091,-71.299906,3,8,0.532057223476614,0.708742884479801,0.00257631371033191,-0.0368135157063933,0.608910891089109,113.476535604043,0.03290433450932,0.658415841584158,75.6510237360284,0.03290433450931,0.653465346534653,"deciduousForest",359.7,39.4,2.05,1624.8,12.0046739130435,14.903097826087,482.93,34.04802913,13.91506628,0.999999068,19.14778753,19656,171727,647467,98813,0.3558866,0.5696395,0.5806052,0.766645,33099,78479,37680,27358,3710,2846,93,820,937663,3.06119988865225,0.943433908034857,8.22523262496139,2.7250728673308,17.8019181731603,1.159707,1,1373,-0.450518408894501,0.204544958708241,0.102575626684585,0.461790139930935,"Canopy"
"24","BART_015",33,"D01","BART",44.042644,-71.273028,5,10,0.523748319132647,0.825191894755922,0.00444030830799542,0.323388220676764,0.737623762376238,128.049406400094,-0.286639584613621,0.415841584158416,71.5497965734834,-0.0326641132980237,0.554455445544555,"mixedForest",437.2,38.8,1.75,1644.1,12.0873913043478,15.0839130434783,475.74,27.258428,13.80691032,0.999998961,16.97633981,19021,237125,558225,23561,0.3672519,0.5611937,0.5752693,0.7141899,30301,86114,47546,11057,3517,2357,133,505,837932,2.96065740088314,0.937818041384576,9.97805116626594,2.76406677391483,19.5537346705938,0.3977777,1,14161,-0.471981025765281,0.187443197805587,0.0972274436871674,0.311353248673543,"Canopy"
"25","BART_016",34,"D01","BART",44.049256,-71.285512,5,8,0.527442832995576,0.825570749232869,0.00300173006966918,0.345309561365969,0.737623762376238,104.549193266278,0.0161424724978844,0.351485148514851,69.699462177519,0.0161424724978984,0.351485148514851,"mixedForest",325.4,38.9,1.75,1669.7,12.1691304347826,15.1820652173913,474.3,41.03103756,13.68579536,0.999998821,16.78239889,30078,204610,516693,39578,0.4149867,0.5584673,0.6748595,0.7198364,42012,86052,43421,17057,3482,2022,118,690,790959,3.06341775661563,0.944578433701088,7.84954249871307,2.72567857499567,18.5543119175583,0.646399,30,8743,-0.786519324350993,0.311380656623141,0.180681154401591,0.486212518134619,"Canopy"
"26","BART_018",35,"D01","BART",44.059971,-71.277901,5,9,0.520752978706268,0.722860827778561,0.00349950443763672,0.0912901472151407,0.698019801980198,192.680783165617,0.562516749033161,0.782178217821782,82.1424696090984,0.482827956785435,0.732673267326733,"mixedForest",297.2,39.8,2.15,1489.9,12.326847826087,15.4408152173913,465.97,31.31005552,13.85069456,0.999999003,15.926515,35475,291836,569260,13315,0.4692883,0.5596501,0.6751984,0.6766595,37944,86611,41626,7123,3733,1391,93,387,909886,2.95605879157556,0.937663650409745,10.0260950247085,2.7799086918581,19.2146049065487,0.7585338,12,4421,-0.514117100946292,0.236087249205952,0.099687123048094,0.504146328665444,"Canopy"
"27","BART_025",36,"D01","BART",44.060146,-71.315479,3,7,0.530891925937586,0.743174444489262,0.00315668680926386,0.481920522075798,0.747524752475248,908.918766607288,2.04831171570215,0.97029702970297,118.838781799232,2.62581864697689,1,"evergreenForest",575.8,38.7,1.55,1679.4,11.3094565217391,13.8139673913043,512.09,31.80779228,13.9283774,0.999999058,12.75371287,95804,523732,357671,1644,0.5086611,0.5339815,0.7220662,0.51137,71391,68551,55308,1584,3633,392,645,164,978851,3.03352622373732,0.946129603629154,7.20411061823909,2.69092105303485,15.8287250203556,0.6415861,11,5806,-0.624592635956459,0.204603243200646,0.0520285403217817,0.589123985428508,"Canopy"
"28","BART_082",37,"D01","BART",44.056702,-71.287159,4,10,0.521217112023871,0.775095800753784,0.00458855158544125,0.359919438194959,0.767326732673267,678.274733303666,-0.0548664186945337,0.485148514851485,105.675481459824,0.937806302185541,0.821782178217822,"evergreenForest",292.7,39.6,2.15,1588,12.4703260869565,15.6289673913043,462.5,29.68863587,13.72255874,0.999998871,17.32139843,19249,193948,557212,22170,0.3652153,0.5561027,0.6115772,0.6482719,32405,85816,41233,12986,3663,2171,96,799,792579,2.94842698897526,0.936542996681755,9.47203036999349,2.93018109235799,19.5292835162173,0.5062357,3,5485,-0.37282892134238,0.124435363048141,0.0256134173248158,0.209789622882809,"Canopy"
"29","BLAN_002",38,"D02","BLAN",39.092296,-77.980761,8,14,0.513270076139888,0.708998632552612,0.00428986866405848,-0.484398187952921,0.341584158415842,341.991224484243,0.0502511127391906,0.544554455445545,87.3820651418447,-0.0978357572536279,0.514851485148515,"pastureHay",139.7,34.4,23.15,1019.2,12.4177173913043,21.1233152173913,461.72,82.56778268,12.43797266,0.999995581,6.493785829,44828,84895,92954,26381,0.4285656,0.721201,0.8068662,0.8220806,52347,30409,20958,6086,4484,691,204,106,249058,3.34606603089686,0.958124002083751,4.32717895288426,10.1803595949538,17.4963261569594,0.8172588,2760,33120,-0.0825160049216672,-0.0869737978369985,-0.0188770448572158,0.0364123488778847,"Canopy"
"30","BLAN_004",39,"D02","BLAN",39.087516,-77.962567,7,13,0.51308085270795,0.671593225006175,0.00643984811172409,0.839117515892091,0.856435643564356,469.809897414367,1.00463714361892,0.841584158415842,102.049953535413,0.892463488151397,0.762376237623762,"pastureHay",128.4,34.3,23.15,1012.1,12.3557608695652,21.1484239130435,476.08,79.41223202,12.35558191,0.99999521,6.583035743,29297,92322,80693,21530,0.4338152,0.7789272,0.8103402,0.823871,36732,25494,18534,5720,3860,474,261,100,223842,3.3645758007967,0.961517842546943,3.18198067389716,6.41211211479526,15.0592828870364,0.8652587,2574,23975,-0.261952684387977,-0.0299576472380007,0.0546173547891051,-0.0107463951425097,"Canopy"
"31","BLAN_005",40,"D02","BLAN",39.087456,-77.971942,6,11,0.531832458923166,0.715945209456857,0.00356750942980426,-0.296399063872986,0.420792079207921,318.491011351032,0.0589023159001522,0.534653465346535,90.9236101089452,0.0401069043511313,0.485148514851485,"deciduousForest",137.4,34.3,23.05,1012.4,12.3820652173913,21.1303804347826,467.67,125.4207384,13.38849677,0.999998352,16.66966051,69118,147346,211585,215795,0.4994511,0.6629855,0.7042475,0.8712247,58007,54592,55371,22059,4082,1849,956,194,643844,3.5402477774936,0.969303438265005,1.57657945813892,2.82910145935972,10.429545045073,0.8690958,1281,20659,-0.406579872563748,0.133520959554319,0.0431565655106103,0.341874600532726,"Canopy"
"32","BLAN_013",41,"D02","BLAN",39.080851,-77.96809,6,11,0.520783825595847,0.74246515107948,0.00469761046465096,0.41215769118854,0.658415841584158,312.616011303151,0.143867545224673,0.574257425742574,90.202416777168,0.111555680134756,0.554455445544555,"deciduousForest",140.5,34.3,23.15,1011.2,12.418152173913,21.1913586956522,464.94,93.02649036,13.32148662,0.999998222,12.31625175,104345,194679,248047,78248,0.5276457,0.6747148,0.7315619,0.7953249,76608,57056,49994,21313,3150,1385,665,402,625319,3.32089006291722,0.956122742206819,4.84032251107206,11.9802852624021,19.7470411102173,0.4880468,445,44638,-0.165736243937241,-0.0979679448749145,-0.00304226787267945,0.0151473931903894,"Canopy"
"33","BLAN_014",42,"D02","BLAN",39.081458,-77.958693,11,18,0.519083824927592,0.719493755314424,0.00585412622714705,-0.301543948144378,0.51980198019802,558.481317050604,1.38718038856989,0.920792079207921,106.206027246184,1.19802177940181,0.861386138613861,"pastureHay",120.3,34.3,23.15,1013.1,12.418152173913,21.1913586956522,464.94,102.2153888,12.98923554,0.999997522,11.73400774,53927,143731,176947,60643,0.4415147,0.7347755,0.7941594,0.8000889,59734,41239,34439,15059,4295,1128,304,353,435248,3.39836822593818,0.963800877849048,2.77844644998063,6.18911517112083,14.160432672867,0.8200574,2118,35410,-0.186899382305629,-0.106674288133224,0.0937887174712812,-0.0116097757153613,"Canopy"
"34","BLAN_015",43,"D02","BLAN",39.087544,-77.954623,8,12,0.524506423166541,0.831560310456582,0.00478200561328684,0.00107192063780796,0.608910891089109,356.971429612942,0.412440147165622,0.623762376237624,91.5142618479533,0.271409301855466,0.574257425742574,"deciduousForest",124.7,34.3,23.15,1013.5,12.2857608695652,21.1345108695652,490.22,69.13432783,13.42507692,0.999998446,17.59459195,37066,152379,310200,118432,0.4569526,0.6302983,0.7370289,0.788135,43338,63092,52514,27161,3241,2076,353,483,618077,3.32895259221464,0.959950358288443,3.617392967925,2.58414404677734,13.2525559113185,0.9230488,245,12845,-0.897169480411637,0.263106384711809,0.172723918220002,0.242182996844667,"Canopy"
"35","BLAN_020",44,"D02","BLAN",39.100938,-77.980394,8,15,0.511570550037525,0.773419654840077,0.00549566262421763,-0.0631279195837955,0.658415841584158,341.99122448442,0.0854658318376723,0.534653465346535,87.3820651418838,-0.0993344983447611,0.475247524752475,"pastureHay",165.9,34.3,23.05,1025.7,12.3414130434783,21.0722282608696,470.57,109.4959259,12.43545067,0.999995645,7.702713202,33248,63655,96419,56748,0.4163665,0.7099854,0.8015453,0.8569425,41438,25955,22803,10097,4118,1031,391,121,250070,3.42633526007355,0.96482642747822,2.39399541840419,6.52377334346383,15.4088855120566,0.8598371,2387,26119,-0.0437113524994708,-0.0463245160355455,0.0763748869660437,0.0526251844611797,"Canopy"
"36","BONA_032",59,"D19","BONA",65.185886,-147.556641,4,5,0.514651133651728,0.739410420332167,0.00269381699928538,0.337402165722839,0.737623762376238,518.521955431162,1.59253323483282,0.95049504950495,108.628962990679,2.00736394753847,0.97029702970297,"evergreenForest",601.4,40.1,13.65,644.9,10.5459782608696,11.0461413043478,228.6,7.341785819,12.26069537,0.999994267,1.746472631,139393,65906,1,0,0.3438674,0.5482082,NA,NA,117028,47601,0,0,4438,4178,1,0,205300,2.24144346090926,0.875048632713843,41.634244857438,19.8616658548466,40.6113005358013,0.4317734,3549,108846,-0.145710384527182,-0.0675641488243306,-0.0507592305681904,0.114772629088685,"Subcanopy"
"37","CLBJ_031",60,"D11","CLBJ",33.374785,-97.595114,18,23,0.509582830906413,0.736384042961413,0.0102415192411494,1.61514603712958,0.915841584158416,518.121561900338,0.552548361916328,0.742574257425743,99.4170344140019,0.642260294132181,0.752475247524752,"grasslandHerbaceous",294.7,32.5,22.85,1054.6,12.7386956521739,25.2498913043478,327.76,5.308188617,11.59951781,0.999988309,1.003416091,44890,40035,0,0,0.5543354,0.8188821,NA,NA,33048,9407,0,0,2587,301,0,0,84925,2.2901794924846,0.887262186023807,31.7763404212472,17.2999705622608,36.8584044745364,0.7364704,2360,25579,-0.105458424478207,-0.102617336559184,0.153795132268394,0.017267061362974,"Midstory"
"38","CLBJ_034",61,"D11","CLBJ",33.323321,-97.579708,14,20,0.525272923391679,0.748415557321398,0.00877535600676866,0.908177079301875,0.826732673267327,406.899999093314,-0.746443079792604,0.287128712871287,89.4747693515152,-0.0189417692783191,0.524752475247525,"grasslandHerbaceous",311.5,32.3,22.85,1069.7,12.6404347826087,25.2909782608696,343.05,20.43382135,12.241175,0.999994155,2.748640442,96309,103964,13136,0,0.6217965,0.8623958,0.8274573,NA,50515,15808,3215,0,2870,263,71,0,213409,2.7897998005729,0.928541137300658,12.7184553771711,9.53802323238476,18.9818611211336,0.8231661,2091,32082,-0.226381000589429,-0.115441493793273,0.106408846492575,0.0148932600156931,"Subcanopy"
